Score,Review
5,일단 삼성 생태계를 구축해주신것에 대해 감사합니다. 그런데 과거에 WAM7501모델(R7)을 설정할 수 있게 해주실 수 없을까요? 집안 스피커를 해당모델로 해뒀는데 사용할 수가 없네요
5,"실외공기에 따라 알림설정, 원격조작이 가능 등등 너무 편리합니다"
3,"삼성로봇청소기 사용중입니다. 언제부터인가 앱사용하려고하면 메일계정확인하라는 창이 계속 나오고, 오전 10시로 예약설정해놓은게 오후 6시 넘어서 작동하고 그러네요...전에 업테이트하기전에는 예약기능 잘 썼었는데... 삭제하고 다시 깔아봐도 그렇고..."
5,현재 갤럭시 홈 미니에서 설정에서 무엇을 하든 네트워크 에러가 뜨네요
4,"에어콘 작동시 밖에서 핸폰으로 작동가능해서 편리합니다~~ 에어드레서 레시피가 다양하면 좋을듯, 에어 드레서나 세탁기도 밖에서 작동 가능 하면 좋을듯"
3,"린나이 와이파이 보일러를 사용하고있습니다. skt스마트 홈이나 lg스마트 홈 앱에서는 린나이 스마트보일러 앱 계정과 바로 연결이 되는데, 본 앱에서는 최종단계에서 장치 리스트가 뜨지 않아 연결을 할 수 없습니다. 확인 부탁드립니다."
1,첫사용 업데이트를하고 네트워크오류 나중에다시하라고 계속 뜸 이게 뭐가 스마트한건지
1,벽걸이형 에어컨 와이파이정보 바꾸려고 하니깐 앱 업데이트 하라고 해서 들어왔더니 최신버전이네? 그래서 다시 와이파이 정보 바꾸려 하니깐 다시 앱 업데이트 하라고 하네?? 공무원식 폭탄돌리기를 삼성에서?? 앱 개발자 누구냐 얼굴 궁금하다
2,업뎃후 바보가됐습니다. 잘 나오던 기어 정보가 설정건드려봐도 사라진채 나오질 않네요... 스마트홈기기가 없어 기어정보(배터리나 소리제어) 보는게 유일한 목적인데 망했습니다.
2,기존에 등록했던것 다 없어졌네요... 다시등록해보겠습니다 ..
5,공기청정기 휴대폰으로 편하게 작동할수 있어 편하고 좋습니다.^^
3,공유기를 변경하면 다시 잡히지 않아서 사용이 안됩니다. 공유기 고장으로 변경하면 연결되지 않고 재연결이 힘든 부분을 제외하면 좋습니다.
1,공기청정기 연결이 아무리해도안돼요. 와이파이 연결되어있고 AP표시도뜨는데 안되구요 모델을 찾아서입력해도 안돼요
1,많은 사람들이 블루투스 연결기기 퀵패널에 있던 게 미디어로 들어간 거 불편하다고 하는 댓글을 안보이시나요? 기계적으로 노트 10 /10+는 미디어에서 블루투스 할 수 있다 이딴 헛소리하지말고 원래대로 기능 번복해 놓으시라구요. 왜 매크로처럼 헛소리만 지껄이는 지 이해가 안가네요. 원래대로 블루투스 연결기기 퀵패널에서 선택할 수 있도록 다시 돌려주세요 노트10이든 아니든 간에
1,제품은 뜨는대 추가 장비가 필요함 설정할때 설명이 나오든가 그냥 그림의 떡임
5,"만족하며 사용중인데, 미러링 기능이 잘 안되요. 연결만 되면 잘되긴하는데, 연결자체가 잘 안되네요.ㅠ"
4,공기청정기 공기질센서가 평소에도 확인할수 있으면 좋겠네요. 지금은 공기청정기를 가동해야 볼수있네요
3,저기 근데 조명을 다이바스에 연결하려고 하는데 리셋버튼을 5초 누르라고 하는데 어디를 눌러야 할지몰라서 불편합니다
1,pc와 삼성tv연결하려하는데 이거 왜 핸드폰에만 깔리나요? pc용버전은 어디서 다운받나요 삼성홈페이지도 안나오고진짜 짜증나네요
4,사용은 잘 하고 있는데 한번씩 전원 아이콘이 사라지는 현상이.. 당황스럽네요..ㅡㅡ
2,왜 건들지도 않았는데 지멋대로 움직이거나 한 박자 느리게 움직임 이런 현상이 자주 발생함.
4,알림창에서 바로 아이콘으로 스마트띵스로 들어가는 기능이 사라졌습니다.. 엄청 편리했는데 어떻게 다시 쓸수있을까요??
1,연동되는 제품도 적구 왜 제한을 둔건지 모르겠음 각종 iot기기를 구매해도 연동되는게 없으니 사용을 못합니다 그러면서 폰에는 자동으로 설치되어있으니
3,앱특성상 업데이트가 잦은건 어쩔 수 없다지만 연결안정성이 너무 떨어집니다.
3,"세탁기 헹굼 마지막에 제가 매뉴얼로 유연제를 투입하는데요, 상태알림이 세탁/헹굼/탈수 이런식으로만 되서 불편해요. 헹굼 단계별로도 알람을 설정할 수 있으면 좋겠어요"
1,구글홈앱 하고 연동이 안됩니다. 갤럭시 s8 s9 사용한데 확인 부탁드립니다.
1,"최악이다 스트레스 엄청받네 ~~~구글미니,샤오미 같은 제품은 너무 쉽고 잘 연결되는데,,,완전 쓰레기 ~~~~"
5,이번 패치때문에 스마트뷰가 안됩니다 스마트씽 없에주시요 LG u+모뎀에 접속이 안됩니다 TV미러링이 안된답 말입니다 씻뜨
4,알람으로 사용중 입니다 스텐드에 연결했는데 시간 설정기능 이 있어서 좋앙ㆍ.ㅗ
5,폰으로 청정기랑 에어콘 컨트롤 신기하고 편하네요
5,"공기청정기 세탁기, 건조기 연동해서 쓰고있어요 정말좋네요 편리하고"
4,"나쁘지 않지만 거의 매일 충전해야 하고, 가독성이 떨어지는건 문제.."
4,HDMI 연결시 앱 소리 분리재생이 되지 않습니다 확인 부탁드립니다
3,왜 자꾸 연결해서 쓰다가 어느날 보면 오프라인되어있고 삭제후 다시 연결해야하고 대체 왜그러는걸까요?
1,확실한건지는 모르지만 이거 최근에 업글후에 기어 s3 프론티어가 상단바에 나오지를 않습니다... 왜그런가요
1,tv연결 자체가 안 됨 폰이던 태블릿이던 연결이 아예 안 됨 스마트는 무슨 그냥 리모컨이나 써야겠음
4,스마트씽스에서 기기추가보면 사운드바 hw-Q650r이 모델검색이없어요 그래서 스마트씽스에 뜨는모델이 ms650만떠요 해결부탁드립니다
5,전원 ON / OFF 도 할수 있고 많은 기능을 원격으로 해서 좋습니다
5,"편리하게 잘사용하고 있습니다. 앞으로도 계속 좋은앱으 발전 해주시길 바라 겠습나다, 감사함니다!"
1,좋앗는데 갈수록 오류가 생기고 연결도 잘안되고..
3,세탁기는 스마트싱스에서 지원하는 기능이 뭔가요? 핸드폰에서 조작할수있는데 하나도없는데.. 세탁완료 알람 받기 기능만 있는건지.. 궁금합니다
5,리모컨 없어졌는데도 이 앱때문에 딱히안찾고 사용중 리모컨이 어디갔을까요 ..
5,"에어컨, 공기청정기랑 연동시키니 아주 편해요"
5,로봇청소기와 연결해서 사용중인데 정말 너무 편해요^^
5,저렴하게 나오는전기세에 비해 성능이 좋아요
3,연결 안될때가 너~~무 많네요 외부에 있을때 꼭 써야되는데 난감합니다....
3,가끔 연결 끊겨 앱 초기화를 해야합니다.
5,신혼집 가전이 올 삼성 제품입니다 요 어플로 조작 가능해서 너무 편리합니다
1,제발 블루투스 기기 바꾸는거 퀵패널로 돌려주세요. 왜 잘 쓰던 기능을 굳이 날립니까..
3,반응이 너무 느려요. 처음에 접근하는 게 너무 오래 걸리네요.
3,어.... 공기청정기 와이파이 연결이 되지 않아요.
5,아주 잘 사용하고 있어요 스마트하게 전자기기를 컨트롤 하니 좋네요
2,건조기 등록시 99퍼센트에서 계속 멈춰서 등록을 못하고있습니다
5,잘 작동하고 편리하고 좋습니다
1,이보시오 개발자양반 적어도 원하는 시각에 티비켜기 정도의 자동화는 있는게 인지상정 아니오?
1,유일하게 업데이트 할때마다 그지같아지는앱ㅡㅡ
2,갤럭시워치2.등 주변디바이스도 smartthings 패널에 보여지게 해주세요.. 왜 없어졌는지..
1,"이전에는 연결된 블루투스 이어폰을 상단바만 내려도 조정할 수 있어 편리했는데, 업데이트가 되고 나서 소리를 출력하는 기기도 수동으로 조정해 블루투스를 꺼야 하고, 블루투스 이어폰의 남은 배터리 양도 확인할 수 없어 너무 번거롭고 불편합니다. 이전 버전이 더 편리하고 좋았어요. 재조정해주세요."
5,먼거리에서도 휴대폰으로 제어가 가능해서 신기했어요
5,여러 편의 기능이 좀 더 추가 되면 좋을거 같아요.
5,어어폰 소리 전환하는거 좋은거 같아요.
5,필요할때 언제나 작동할수 있어서 아주 편하고 좋아요
5,여러 기기 관리하기 편해요
5,개발자분들 수고가 많으세요 잘 사용하고 있습니다 감사합니다
4,잘 사용하고 있습니다 다만 제가 갤럭시 홈 미니를 사용 중인데 펌웨어 업데이트를 시도하면 오류로 소프트웨어를 업데이트할 수 없다고 합니다. 현재 버전은 V310XXU1ASJ2 입니다. 어떻게 해야 할까요? ST앱이 업데이트되면 해결될까요?
3,여태 잘사용하다 11월중에 노트9 핸드폰 업데이트한뒤로 추측됩니다만 그뒤로 티비와 화면미러링이 잘되지않습니다. 연결이 원활하지않다고 하는데 여태 그런적없이 잘쓰고 있었는데 업데이트한뒤로 연결이 잘안됩니다. 너무 불편하네요 티비문제인건지 핸드폰문제인건지ㅜ
2,AX47R9880WFD 공기청정기와 갤노츠9 웰컴케어 기능이 안되요..
1,단순 TV리모컨이 필요한데 너무 복잡함 리모컨앱은 검색이 안되고 스마트tv앱은 와이파이도 인식못하고... 1. 스마트tv용이면 키보드를 폰에 넣어 줘야 검색이나 이런걸 쓰는데 터치패드 같이 생긴 방향키만 들어 있음 2. 선호채널 버튼이 없어서 매우 불편 스마트폰으로 훨씬 편하게 이용가능한데 그냥 구색만 맞춰놓음
5,스피커를 더 지원해 줬으면 좋겠습니다.
5,폰에서 시각화되는게 확인하기 편해요
5,"집 밖에 있을 때도 공기청정기를 제어할 수 있고, 필터 소모량과 실시간 집안 미세먼지를 확인 할 수 있어요. 바깥 공기가 좋지 않을 때 자동으로 켜지게 할 수도 있고 참 좋네요. 이 어플을 통해야 비로소 가전제품을 완전하게 소유할 수 있기 때문에 적극 추천합니다."
5,리모컨 잃어버려서 급하게 사용해봤는데 아주 굿입니다
1,기존에 공기청정기 연결하여 잘 사용하고 있었습니다. 그런데 어느날보니 등록이 해제되어있고 몇번이나 등록시도하는데 34%에서 진행되지않네요. 어떻게해야되는건가요?
3,스카이블루 공기청정기 가습기 되는것과 공기청정기만 되는거 2개 제품 사용중입니다. AP잡고 3ㅡ4일 지나면 작동은 되나 모드변경할수있는(실내공기 표시및 설정) 안들어가지며 전원이나 통신 이상이 나옴. 2대 전부 아니고 동글이 사용하는 제품만 이상있고 내장된제품은 정상임. 여름에 에어컨부터 문제가 되더니 겨울이 되어가는데 최근에 구매한 제품만되고 작년제작년에 산 제품은 안됨. 신제품만 관리하나요?ㅜㅜ 알려준방식 전부 해봐도 몇일 지나면 또다시...ㅜㅜ 참고로 여름전 업데이트 이후부터 계속임.
5,아주 간편하고 편리해서 좋아요 ~~~
2,티비 연결은 진짜 잘 되는데 세탁기는 로딩중...만 나오다가 기기의 전원코드나 네트워크 상태를 점검해달라고 뜹니다.. 세탁기 설명서에 나와있는 이 앱 기능 중 이용할 수 있는 건 하나도 없고 남은 시간 조회만 가능합니다. 앱에서 문의하기 오류보내기는 다시 시도하기 버튼만 뜨고 전송 되지도 않네 도대체ㅠㅠ 삼성 티비 연결앱으로 이름 바꿔야 할 듯
4,위젯으로도 실행이 되면 좋을 듯 싶어요.
1,저만 그런가요..? 빅스비만 사용하려고 하면 폰이 멈추면서 이 어플이 멈췄다고 뜹니다... 현재 노트9 사용중인데 예전에는 괜찮았는데 한 한 달? 보름? 사이에 자꾸 멈추는 오류가 생기네요. 업데이트 하면서 뭐가 충돌하는건지.. 버그 수정 부탁드립니다.
5,아주좋아요. 알림에서.외부멜로디.선택좀.업데이트.해주세요.
1,Lg폰 사용중이구요. 공기청정기 사용중인데 타이머가 없어서 어플에 기능이 있을까 싶어서 다운로드 받았어요. 공기청정기를 등록하고 나서 실행해보니 전원 on/off 기능만되고 다른 기능을 사용하려면 추가기능을 다운로드 해야된다고 팝업이 뜨는데 다운로드 버튼을 누르면 더이상 진행이 안되요.
1,와이파이 정보 업데이트할려고하는데 앱업데이트 하라고 하는데 앱은 업데이트가 안되요
4,편해요 방이름 변경이 안되는데 그거말고는 만족해요~
5,클로바랑 연동가능해서 짱신나요. 클로바가 네이버에서 그치지 않고 외장스피커로 잘활용되게 해줘요. 스마트씽이 뭔지도 모르겠고 자꾸 눈에띄는데 있어서 짜증났는데 알고보니 꼭필요한거여서 넘잘쓸께요. 남들도 알아야하는데 걱정이네요. 클로바랑 둘이 합치면 최강이예요! 클로바 졸귀염!
4,패널에서 기기들을바로 조작할수있게 했으면좋겠어요. 패널 내려서 디바이스버튼 누르고 조작하는게 번거로워서 손이 잘안가요. 또 위젯 배경을 샤오미 이라이트 위젯처럼 투명하게 설정할수있게 해주세요. 폰 배경이랑 흰색이랑 안어울려서 화면에 위젯 등록하기가 꺼려져요
1,연결끊김 메세지만 줄기차게 뜨네요..연결도 안되는거 왜 만들었나요? 삼성이 이 정도로 허술한지 몰랐네요..짜증나서 삼성 어플 싹다 지워버렸습니다..
4,냉장고 푸드리스트를 가족끼리 자동으로 공유하게 하는 기능이 있았으면 좋겠습니다
1,시스템 에어컨 연결 하였는데 전원은 켜지는데 온도 조절이 안됨 서비스 연락해도 해결 방법이 없다네요 무슨 이런게 있는지.... 로그 보내도 확인할수 없다네요....
4,"에어컨 사용중인데, 언제부턴가 리모컨의 스마트 컨트롤 옵션을 해제해 달라면서 제어가 안됩니다. 리모컨에 스마트 컨트롤은 해제되어 있는데도 자꾸 이 메시지가 나오면서 제어가 안됩니다. 버그 같은데 수정 부탁드립니다."
1,"업데이트 이후 티비 리모컨 사용시 상하좌우 선택 버튼 밑에 접기 더보기가 생겼는데, 고정상태로 계속 쓸수있던 전 스타일이 낫습니다. 밑으로 내리다보면 자꾸 접기버튼이 같이 눌림.. 이 어플 개발자분들은 실사용을 전혀 안하시는것 같아요.."
1,"너무구려요!! 어플에서 에어컨 틀어가면, 켜고 끄는건 되는데 세부설정을하려고하니 (""연결끊김"" 기기의 전원코드나 네트워크 상태를 점검해주세요) 라고뜹니다. 어플 지웠다가 깔아도 그대로고, 핸드폰이랑 탭이랑 다안됩니다. 이렇게된지 2주는된거같은데.짜증나네요!!!!!!! 답변주세요 추가)) 에어컨세부설정하려고 에어컨을클릭하여들어가면 로그인하라고 계속뜸 그리고 제일 문제는, ""연결끊김"" 기기의 전원코드나 네트워크상태를 점검해주세요 라고뜸 에어컨그림 상단에있는 전원버튼으로는 온오프가능은한데. 세부설정이안됨!! 이 핸드폰뿐만 아니라 다른기기에서도 마찬가지임 어플삭제후재설치도 3회나해도 그대로임 노답임 갑자기 한2주전부터이럼 너무 실망스럽고 짜증남 여기 어플에 질문하기 밑에 오류보내기에도 버튼을 클릭하니 오류보내기 전송할수없다고뜸 삼성이 이렇게 허술한지. 오늘에서야깨달아서 너무실망임 아!질문하기 항목도 전송이안됨 총체적난국임 쓰레기어플!"
1,온도 올리고 내리는데 시간이 너무많이 걸리고 느립니다. 접속이 자주 끈깁니다. 벽걸이 에어컨을 킬때마다 자동청소건조를 설정해줘야되는게 불편합니다. 시간많이 잡아먹는 앱입니다. 편하자고 쓰는건데 더불편합니다.
1,아니 슬라이드해서 내가 어떤 블루투스기기랑 연결되있는지 알수있었던게 편한게 왜 앱을 꼭 들어가야만 볼수있는건지 진짜 불편해요. 업데이트 차라리 전버젼이 나은데 ㅋㅋ
1,엘지폰이라 연결이 안돼나요? 쿡탑이 와이파이연결 제어가 가능하다고해서 몇번째 시도중인데 아무리해도 와이파이 연결이 안돼네요. 하다하다 성질나서 그만뒀네요. 삼성브라우저도 깔았고 와이파도켰구요. 근데 쿡탑와이파이가 연결이안돼요. 비번쓰라는데로했는데 그러네요.
5,설정을 통하지 않고 직접해서 좋아요
1,"새버전으로 바뀌고 상태창 슬라이드로 내렸을때 어떤 기기랑 연결되어있는지 바로 안나와서 너무 불편합니다. 블루투스 이어폰이나 해드셋, 자동차 연결시 어디로 음악을 재생할지 수동으로 조작해야될때가 있는데 연결기기목록이 꼭 어플로 접속해야 확인이 가능하네요. 너무 불편해요. 이전으로 돌려주세요."
2,삼성 냉장고랑 폰이랑 연결하여 쓰고있는데 냉장고 문이 열렸을때 문열림 경고음이 따로 있었으면 좋겠습니다 알림음 말고 지속적으로 경고음이 나서 바로 알수있게요
2,삼성 위주네요. 샤오미 포함할 개발은 포기인가요. 앱은 스마트띵스 사용하고 싶습니다.
5,미러캐스트만 쓰는데 쓸만함
4,공기청정기 사용 중인데 이번 업데이트 후에 접속이 안되네요.갤럭시 s10이고 공기청정기 모델은 AX60K시리즈 입니다. 전원 켜기 끄기만 되고 세부 모드 조절을 위해 기기 접속할려니 계속 로딩중이라고만 뜨네요.
4,조금 더 연결이 잘 되면 좋겠어요
5,워치 상태 사용 활성화 시도시 길게 버퍼링이 생기더니 삼성 클라우드에 연결이 안된다면서 활성화가 안됩니다. 원인과 조치법 안내 좀 부탁 드립니다. 미리 별5개 드립니다.
2,공기청정기 디바이스 등록할려고하는데 34%에서 넘어가지를 않고 와이파이 인증오류 계속뜨는데 왜이러는거죠? 설정 초기화도해보고 전원도 껐다켜보고 네트웍도 지우고 이것저것 다해봤는데도 계속 와이파이 인증오류 뜨네요..
2,"좋은건 모바일로 컨트롤 가능한거.. 단점은..이번에 비스포크냉장고샀는데, 자꾸 AI진단결과 변온실이 문이 열려있어. 냉장고 온도가 상승한다고 뜨고... 변온실 문 닫고, 해도..알람 해제가 안되요."
1,"냉장고가 아무문제가 없는데 변온실 이상이라고 ai진단이 계속 나오는데 여기다가 한번문의를 해보라고 해서 글을 올립니다. 어플 문제라고하는데.. 홈케어 매니저에서요.,"
5,조아요 폰으로 연결해서 보고 큰화면 보니 더좋네
1,로봇청소기 VR10M7020UG 어플에 등록이 안됩니다. 답변부탁드립니다.
5,갤럭시s7사용중인데 위젯에서 failed to load scenes. try again.이라고 뜨면서 위젯작동이 안되네요..재부팅하면 다시 뜨긴하는데 금새 또 먹통이 되네요.. 해결 방법이 있을까요???
4,에어드레서 사용중인데 스페셜코스 다운받아서 추가기능 사용하고싶은데 다운이 되지않고 서버로부터 데이터 받아오는중이니 잠시후 다시 시도하라고 나오는데 어떻게해야하나요? 한달째 계속 이럽니다...
5,좋아요 가끔 빨래 돌리고 시간은 놓치는데 알림이 오니 놓치지않고 좋네요♡
